Timestamp;1. Do you have a social media account? (e.g., Facebook, Twitter, etc.);2. Which social media account do you use usually?;3. Which device do you usually use to connect social media?;4. Which type of internet connection do you use?;5. How long have you been using a social media account?;6. How frequently do you post (upload status or add photos/videos) on social media? ;7. How much time do you spend daily in social media?;8. When do you usually use social media?;9. How many friends do you have on social media?;10. How many friends do you know personally in social media? ;11. How many groups you are tagged in social media?;12. What is your main purpose for using social media (e.g. Facebook)?;13. What contents do you mainly look for in your social media news feed?;14.Do you believe social media is a good thing?;15. When you see something in social media, do you instantly believe it?;16. Have you ever experienced peer pressure due to social media?;17. Does your emotion get influenced by other's posts (success, failure, loss)? ;18. Have you ever compared yourself with other’s success or luxurious life?;19. Do you think, your mental wellbeing would be better if you do not use social media?;20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?;21. Please write your age in years (number).;22. Gender;23. Marital Status;24. Religion;25. Education;26. Profession;27. Monthly income;28. Area of residence;29. Living with-;30. Body weight (Kg);31. Height (m);32. Smoking habit
3/1/2021 20:39:26;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;1-2 per day;More than 5 hours;Frequently at anytime;Less than 500;Many of them;5-10;For time pass;Updates of people;Yes;No;Yes;Not at all;Never;Yes;Trying to reduce the use;18;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;40;1.55;Non-smoker
3/1/2021 7:18:05;Yes;Facebook;Tablet;Broadband (Wi-Fi);Less than 2-year;1-2 per day;1-3 hours;Night to late night;Less than 500;Few of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;Yes;Yes;No;Sometimes;All the times;Yes;Trying to reduce the use;16;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Urban Area;With family;40;1.55;Non-smoker
2/21/2021 22:55:26;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Afternoon;Less than 500;Most of them;Less than 5;To stay connected with people;Motivational/ informative contents;No;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Student ;No income;Urban Area;With family;42;1.57;Non-smoker
2/15/2021 20:35:15;Yes;Twitter;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;More than 5 hours;Night to late night;Less than 500;Most of them;More than 20;Running business;Motivational/ informative contents;No;No;Yes;Sometimes;Most of the times;No;Trying to reduce the use;24;Female;Married;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;No income;Rural Area;With family;45;1.63;Non-smoker
3/3/2021 21:32:55;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;1-2 per day;Less than 1 hour;Frequently at anytime;Less than 500;Many of them;Less than 5;For time pass;Updates of people;Yes;No;No;Not at all;Never;Yes;Trying to reduce the use;20;Female;Married;Muslim;Secondary Level;Housewife ;No income;Rural Area;With family;41;1.55;Non-smoker
3/6/2021 18:56:12;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Few of them;Less than 5;For time pass;Updates of current affairs/news;Yes;Yes;Yes;Always;Most of the times;Yes;Trying to reduce the use;20;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;44;1.60;Smoker
2/20/2021 21:11:18;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;More than 5 hours;Night to late night;Less than 500;Few of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;No;No;Yes;Always;Most of the times;Yes;Trying to reduce the use;25;Female;Married;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;40;1.52;Non-smoker
3/1/2021 21:10:12;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Most of them;More than 20;For time pass;To stay connected with people;Yes;No;Yes;Sometimes;Never;No;Trying to reduce the use;25;Female;Unmarried;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;No income;Urban Area;With family;40;1.52;Non-smoker
2/21/2021 2:05:07;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;Less than 5;For time pass;Updates of people;Yes;Yes;Yes;Sometimes;All the times;Yes;Trying to reduce the use;25;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;40;1.52;Smoker
2/20/2021 21:50:05;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Most of them;10-20;To stay connected with people;Updates of people;Yes;No;No;Sometimes;Most of the times;No;Not trying;24;Female;Married;Muslim;Masters or above;Unemployed including students;No income;Rural Area;With family;40;1.52;Non-smoker
3/1/2021 9:37:58;Yes;WhatsApp;Mobile Phone;Mobile data;5-10 years;3-5 per day;3-5 hours;Frequently at anytime;Less than 500;All of them;5-10;For time pass;Updates of people;Yes;No;No;Not at all;Never;Yes;Trying to stop the use;19;Female;Married;Muslim;Secondary Level;Housewife;No income;Rural Area;With family;47;1.65;Non-smoker
2/27/2021 13:04:01;Yes;Snapchat;Tablet;Broadband (Wi-Fi);5-10 years;3-5 per day;1-3 hours;Evening;500-2000;All of them;10-20;For time pass;To stay connected with people;No;No;No;Not at all;Never;No;Trying to reduce the use;30;Female;Married;Muslim;Graduate Level;Housewife;No income;Urban Area;With family;46;1.63;Non-smoker
2/17/2021 18:02:16;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;5-10;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;25;Female;Married;Hindu;Masters or above;Unemployed including students;No income;Urban Area;With family;65;1.93;Non-smoker
3/5/2021 13:58:38;Yes;Twitter;Tablet;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Frequently at anytime;500-2000;Many of them;10-20;To stay connected with people;Updates of current affairs/news;Yes;Yes;No;Sometimes;All the times;Yes;Trying to stop the use;18;Female;Unmarried;Buddho;Secondary Level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;With family;45;1.60;Non-smoker
2/20/2021 8:39:22;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;All of them;5-10;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Not trying;20;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;45;1.60;Non-smoker
3/1/2021 18:00:59;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Morning;500-2000;Few of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;No;Not at all;All the times;No;Not trying;34;Female;Married;Muslim;Secondary Level;Housewife ;No income;Rural Area;With family;41;1.52;Non-smoker
3/6/2021 11:31:20;Yes;Facebook;Tablet;Mobile data;2-5 years;Less than 1 per day;1-3 hours;Night to late night;Less than 500;Few of them;10-20;For time pass;To stay connected with people;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;17;Female;Unmarried;Buddho;Secondary Level;Unemployed including students;No income;Rural Area;With family;47;1.63;Non-smoker
2/19/2021 22:41:36;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;Less than 1 hour;Evening;Less than 500;Most of them;10-20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;No;Not at all;Never;No;Not trying;25;Female;Unmarried;Muslim;Graduate Level;I don't wanna do any job;No income;Urban Area;With family;47;1.63;Smoker
3/1/2021 23:54:17;Yes;WhatsApp;Mobile Phone;Mobile data;Less than 2-year;1-2 per day;1-3 hours;Evening;500-2000;Many of them;10-20;To make new friends;Updates of current affairs/news;Yes;Yes;Yes;Not at all;Never;No;Not trying;15;Male;Unmarried;Muslim;Primary level;Unemployed including students;No income;Rural Area;Without family;50;1.68;Smoker
2/20/2021 23:13:53;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;2000-4000;Many of them;More than 20;To stay connected with people;Motivational/ informative contents;Yes;No;No;Sometimes;Most of the times;No;Trying to reduce the use;24;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;58;1.80;Smoker
2/28/2021 13:24:53;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);2-5 years;3-5 per day;More than 5 hours;Frequently at anytime;More than 4000;Most of them;10-20;To make new friends;Motivational/ informative contents;Yes;Yes;No;Sometimes;Most of the times;No;Trying to reduce the use;24;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;58;1.80;Smoker
2/21/2021 17:14:58;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;More than 5 hours;Night to late night;Less than 500;Many of them;More than 20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;24;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;43;1.55;Non-smoker
2/27/2021 13:10:11;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;All of them;5-10;Running business;Updates of current affairs/news;Yes;Yes;Yes;Always;Most of the times;No;Not trying;25;Male;Unmarried;Muslim;Secondary Level;Self-employed/Entrepreneur/Business;Above 70,000 Tk;Rural Area;With family;60;1.83;Smoker
2/20/2021 0:44:22;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Many of them;Less than 5;To stay connected with people;Motivational/ informative contents;Yes;No;Yes;Not at all;Never;No;Not trying;24;Female;Married;Muslim;Masters or above;Govt. job;Above 70,000 Tk;Rural Area;With family;52;1.70;Non-smoker
3/2/2021 20:15:33;Yes;Instagram;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;Few of them;Less than 5;For time pass;Motivational/ informative contents;No;Yes;Yes;Not at all;All the times;Yes;Trying to reduce the use;18;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;46;1.60;Non-smoker
2/27/2021 19:39:45;Yes;Snapchat;Tablet;Broadband (Wi-Fi);2-5 years;3-5 per day;More than 5 hours;Frequently at anytime;2000-4000;Most of them;10-20;For time pass;Updates of people;Yes;Yes;Yes;Sometimes;Most of the times;No;Not trying;27;Female;Married;Muslim;Graduate Level;Housewife;No income;Urban Area;With family;49;1.65;Non-smoker
3/7/2021 20:33:22;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;3-5 per day;1-3 hours;Frequently at anytime;Less than 500;Few of them;Less than 5;For time pass;To stay connected with people;Yes;Yes;Yes;Not at all;All the times;No;Not trying;23;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;Without family;45;1.57;Non-smoker
3/1/2021 21:32:23;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;1-2 per day;1-3 hours;Morning;Less than 500;Few of them;Less than 5;For time pass;Updates of people;Yes;Yes;Yes;Not at all;Never;Yes;Trying to stop the use;14;Male;Unmarried;Hindu;Primary level;Unemployed including students;No income;Rural Area;With family;51;1.68;Smoker
2/20/2021 13:08:00;Yes;Twitter;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;3-5 hours;Night to late night;Less than 500;Most of them;Less than 5;To stay connected with people;Get pleasure from funny posts/ memes;No;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;24;Female;Married;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;No income;Rural Area;With family;45.4;1.57;Non-smoker
2/26/2021 22:18:33;Yes;Twitter;Mobile Phone;Mobile data;2-5 years;More than 5 per day;3-5 hours;Night to late night;500-2000;Many of them;More than 20;To make new friends;To stay connected with people;Yes;Yes;Yes;Sometimes;Most of the times;No;Not trying;17;Female;Unmarried;Hindu;Secondary Level;Unemployed including students;No income;Rural Area;With family;44;1.55;Non-smoker
2/22/2021 22:14:09;Yes;Facebook;Desktop;Broadband (Wi-Fi);5-10 years;Less than 1 per day;Less than 1 hour;Afternoon;Less than 500;All of them;Less than 5;To stay connected with people;Updates of current affairs/news;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;28;Female;Married;Muslim;Graduate Level;Housewife;No income;Urban Area;With family;50;1.65;Non-smoker
2/27/2021 19:51:19;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;3-5 hours;Night to late night;Less than 500;Most of them;10-20;For time pass;Updates of people;Yes;No;No;Not at all;Never;No;Not trying;17;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;50;1.65;Smoker
3/5/2021 18:24:40;Yes;Facebook;Tablet;Broadband (Wi-Fi);2-5 years;Less than 1 per day;Less than 1 hour;Night to late night;Less than 500;Many of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Sometimes;Never;No;Not trying;25;Female;Divorced;Hindu;Graduate Level;Self-employed/Entrepreneur/Business;40,000-70,000 Tk;Rural Area;Without family;50;1.65;Smoker
2/22/2021 3:19:54;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;5-10;To stay connected with people;To stay connected with people;Yes;No;Yes;Not at all;Never;Yes;Trying to reduce the use;30;Male;Divorced;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Urban Area;With family;50;1.65;Smoker
2/19/2021 23:37:43;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Night to late night;Less than 500;Most of them;10-20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;22;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;50;1.65;Smoker
3/1/2021 9:42:14;Yes;Facebook;Mobile Phone;Mobile data;More than 10 years;1-2 per day;More than 5 hours;Frequently at anytime;2000-4000;Most of them;10-20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Sometimes;Never;No;Not trying;40;Male;Married;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;Above 70,000 Tk;Rural Area;With family;60;1.80;Smoker
2/22/2021 18:41:00;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;500-2000;Many of them;5-10;To stay connected with people;Nothing specific ;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;25;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;Without family;52;1.68;Smoker
3/5/2021 18:52:15;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;1-2 per day;1-3 hours;Afternoon;500-2000;Few of them;Less than 5;For time pass;Motivational/ informative contents;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Trying to stop the use;20;Male;Unmarried;Muslim;Secondary Level;Private job;10,000-40,000 Tk;Rural Area;With family;49;1.63;Non-smoker
3/5/2021 18:03:44;Yes;Twitter;Mobile Phone;Broadband (Wi-Fi);Less than 2-year;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;10-20;To stay connected with people;Updates of people;Yes;Yes;Yes;Not at all;All the times;Yes;Trying to reduce the use;18;Female;Unmarried;Hindu;Secondary Level;Unemployed including students;No income;Rural Area;With family;49;1.63;Smoker
3/1/2021 21:29:09;Yes;Snapchat;Mobile Phone;Mobile data;Less than 2-year;1-2 per day;1-3 hours;Afternoon;500-2000;All of them;5-10;To make new friends;Updates of current affairs/news;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;18;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;49;1.63;Smoker
2/22/2021 11:27:30;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Many of them;Less than 5;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Never;No;Not trying;27;Female;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;45;1.55;Non-smoker
2/20/2021 22:08:17;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;10-20;To stay connected with people;Updates of current affairs/news;No;No;No;Sometimes;Never;Yes;Trying to reduce the use;26;Female;Unmarried;Muslim;Masters or above;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;45;1.55;Non-smoker
3/7/2021 20:57:03;Yes;Twitter;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;1-3 hours;Evening;500-2000;Few of them;Less than 5;To make new friends;Get pleasure from funny posts/ memes;Yes;Yes;No;Always;Most of the times;Yes;Trying to reduce the use;18;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;45;1.55;Non-smoker
2/26/2021 13:30:02;Yes;Snapchat;Mobile Phone;Broadband (Wi-Fi);More than 10 years;3-5 per day;1-3 hours;Night to late night;500-2000;All of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Never;No;Not trying;23;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Rural Area;With family;45;1.55;Non-smoker
3/6/2021 23:34:59;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Few of them;10-20;To make new friends;To stay connected with people;Yes;Yes;Yes;Sometimes;Most of the times;No;Not trying;17;Male;Unmarried;Hindu;Secondary Level;Unemployed including students;No income;Rural Area;With family;48;1.60;Smoker
2/22/2021 11:53:40;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;Less than 1 hour;Evening;Less than 500;Most of them;Less than 5;To stay connected with people;Motivational/ informative contents;Yes;No;No;Not at all;Never;No;Not trying;25;Female;Married;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;48;1.60;Non-smoker
2/20/2021 21:22:17;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;To stay connected with people;No;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;48;1.60;Non-smoker
2/21/2021 19:10:19;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Most of them;5-10;To stay connected with people;Updates of current affairs/news;Yes;No;No;Not at all;Never;No;Not trying;25;Male;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;56;1.73;Non-smoker
2/19/2021 23:48:16;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;3-5 hours;Night to late night;500-2000;Most of them;10-20;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;All the times;Yes;Not trying;23;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;58;1.75;Smoker
2/26/2021 21:37:56;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;All of them;Less than 5;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;No;Always;All the times;No;Not trying;35;Male;Married;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Urban Area;Without family;50;1.63;Smoker
3/1/2021 21:19:00;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);Less than 2-year;3-5 per day;3-5 hours;Evening;500-2000;Many of them;5-10;To make new friends;To stay connected with people;Yes;Yes;Yes;Always;Never;Yes;Trying to reduce the use;15;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;50;1.63;Non-smoker
3/1/2021 21:24:24;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;Most of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;46;Female;Married;Muslim;Primary level;Housewife ;No income;Rural Area;With family;50;1.63;Non-smoker
3/1/2021 15:09:23;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;1-2 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;To stay connected with people;Yes;Yes;No;Sometimes;Never;No;Not trying;20;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;50;1.63;Non-smoker
2/15/2021 20:33:32;Yes;Facebook;Mobile Phone;Mobile data;More than 10 years;Less than 1 per day;1-3 hours;Night to late night;500-2000;Many of them;More than 20;To stay connected with people;Updates of current affairs/news;Yes;No;No;Not at all;Never;Yes;Not trying;30;Female;Married;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;50;1.63;Non-smoker
3/6/2021 22:21:13;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;3-5 hours;Frequently at anytime;Less than 500;Few of them;5-10;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;20;Male;Unmarried;Hindu;Graduate Level;Unemployed including students;No income;Rural Area;With family;47;1.57;Non-smoker
3/1/2021 9:23:18;Yes;Facebook;Desktop;Broadband (Wi-Fi);5-10 years;More than 5 per day;3-5 hours;Night to late night;500-2000;Many of them;10-20;To make new friends;To stay connected with people;Yes;No;Yes;Always;All the times;No;Trying to reduce the use;17;Male;Unmarried;Buddho;Secondary Level;Unemployed including students;No income;Rural Area;With family;55;1.70;Smoker
